Date,Segment_id,x,y,Evapotranspiration,Precipitation,Irrigation_pumping,Observed
726984,196,1482190,14577120,0.0,0.0,0.0,0.0
713440,56,1170670,14582400,0.0,0.0,0.0,0.435409836
708965,157,1022830,14672160,0.65,21.64,0.0,98.536441
710883,152,1392430,14545440,0.0,0.0,0.0,1.257377049
722663,146,1329070,14445120,0.0,0.0,0.0,0.0
712252,189,1392430,14571840,0.0,0.0,0.0,7.441935484
725554,59,874990,14556000,7.99,15.42,-1.9065,9.96721311
720319,178,927790,14540160,2.21,23.92,0.0,2.5250447
713866,147,906670,14693280,11.92,14.04,-0.008495,64.69836070000001
710367,178,927790,14540160,0.56,26.48,0.0,25.533870999999998
726862,188,927790,14550720,0.85,16.16,-0.026922,80.52627119
717031,149,1387150,14640480,1.31,20.2,-0.0079998,6.6922034
714658,188,927790,14550720,7.25,12.65,-0.1773,73.118852
709452,256,1941550,14524320,4.51,35.4,0.0,541.79508
710122,186,1313230,14640480,0.0,18.4,0.0,57.035245999999994
722359,189,1392430,14571840,0.0,0.0,0.0,0.0
713014,136,1191790,14767200,0.58,17.51,0.0,26.64
730090,196,1482190,14577120,0.0,0.0,0.0,14.1
718675,170,1270990,14714400,4.43,24.95,-0.20524,46.155738
719618,60,1144270,14677440,2.93,14.88,0.0,27.636721
727015,56,1170670,14582400,0.0,0.0,0.0,5.680819672
710852,239,1630030,14550720,7.69,32.2,0.0,504.86065999999994
713044,149,1387150,14640480,1.13,15.47,-0.0079998,6.3517212999999995
713532,135,1223470,14761920,7.9,14.41,-0.0097517,4.9647540999999995
720106,170,1270990,14714400,9.08,22.05,-0.54228,32.3918033
727288,64,1645870,14566560,3.54,21.29,-0.0090906,6.4654098
712862,96,806350,14550720,3.64,20.07,0.0,20.219746
730637,56,1170670,14582400,0.0,0.0,0.0,2.47
712589,56,1170670,14582400,0.0,0.0,0.0,0.355
716027,152,1392430,14545440,0.0,0.0,0.0,2.6950819669999997
716270,149,1387150,14640480,1.29,20.42,-0.0079998,5.72381356
730486,65,838030,14556000,0.81,15.16,0.0,3.67225806
715753,51,1154830,14413440,0.0,0.0,0.0,0.0
724611,148,1703950,14561280,0.18,28.08,-0.015,23.066129
720502,55,1133710,14619360,5.69,19.61,-0.61846,3.2295082
714931,171,1508590,14524320,6.69,32.14,-0.01459,2.095082
714200,196,1482190,14577120,0.0,0.0,0.0,0.0
713593,171,1508590,14524320,1.37,19.28,0.0,3.2459016
729360,178,927790,14540160,0.8,25.09,0.0,14.519355
726316,146,1329070,14445120,0.0,0.0,0.0,0.05
726803,40,1798990,14561280,0.12,23.36,0.0,12.2580645
721171,98,721870,14387040,0.0,0.0,0.0,0.240983607
719467,59,874990,14556000,2.26,18.18,0.0,13.6121311
727746,51,1154830,14413440,0.0,0.0,0.0,0.0
725067,135,1223470,14761920,1.56,23.01,-0.021537999999999998,6.19661017
730149,149,1387150,14640480,1.3,26.72,-0.019999,6.890423700000001
720441,196,1482190,14577120,0.0,0.0,0.0,1.7278688519999998
721780,189,1392430,14571840,0.0,0.0,0.0,0.948333333
722936,147,906670,14693280,5.17,16.89,0.0,35.75737705
714109,147,906670,14693280,1.93,15.11,0.0,63.510169499999996
715235,97,727150,14402880,1.03,26.42,0.0,32.977868900000004
710579,65,838030,14556000,7.72,19.99,0.0,3.6770492
724032,51,1154830,14413440,0.0,0.0,0.0,0.0
722024,196,1482190,14577120,0.0,0.0,0.0,0.0
719406,189,1392430,14571840,0.0,0.0,0.0,0.6098360660000001
717397,56,1170670,14582400,0.0,0.0,0.0,2.029
727380,170,1270990,14714400,8.1,21.21,-0.60268,27.9459016
708937,194,970030,14571840,0.05,25.0,0.0,143.225806
710732,53,991150,14714400,0.59,17.1,0.0,20.304838699999998
718461,170,1270990,14714400,1.17,24.95,0.0,58.3694915
721689,170,1270990,14714400,0.79,27.38,0.0,47.2032258
724215,135,1223470,14761920,1.25,21.01,-0.021537999999999998,4.56704918
710061,205,1128430,14614080,0.37,25.75,0.0,85.63333
724366,59,874990,14556000,1.37,16.77,0.0,11.61565574
716150,147,906670,14693280,3.45,17.69,0.0,53.0590164
712801,196,1482190,14577120,0.0,0.0,0.0,26.5
720867,148,1703950,14561280,0.21,40.36,-0.43866000000000005,20.4868852
730699,178,927790,14540160,7.74,15.65,-1.5475,-5.6262295
715511,130,785230,14566560,0.51,14.46,0.0,65.65161289999999
716910,178,927790,14540160,1.04,31.29,0.0,9.4262295
720288,59,874990,14556000,1.15,18.49,0.0,12.83
720106,146,1329070,14445120,0.0,0.0,0.0,0.0
719345,148,1703950,14561280,6.6,31.42,-0.40084000000000003,20.2213115
716696,98,721870,14387040,0.0,0.0,0.0,1.249322034
730333,171,1508590,14524320,4.7,0.0,-0.5425,10.608197
713409,98,721870,14387040,0.0,0.0,0.0,1.916949153
716119,152,1392430,14545440,0.0,0.0,0.0,0.71147541
714050,130,785230,14566560,0.54,11.88,0.0,64.24193548
708571,157,1022830,14672160,0.0,15.43,0.0,72.63548399999999
708845,53,1049230,14666880,3.16,15.43,0.0,81.157377
715570,147,906670,14693280,0.7,18.71,0.0,69.16101695
720898,59,874990,14556000,3.86,22.47,0.0,12.930327900000002
722145,146,1329070,14445120,0.0,0.0,0.0,0.218305085
719741,97,727150,14402880,10.21,11.95,-0.9325200000000001,8.5901639
727472,56,1170670,14582400,0.0,0.0,0.0,3.23
